event_id,timestamp,user_id,username,application,duration_minutes,device
APP031504,2026-06-01 07:43:00,U1078,michelle.miller,DocuSign,18,WKSTN-U1078
APP023111,2026-06-01 08:35:00,U1057,nancy.sanchez,Excel,55,WKSTN-U1057
APP014339,2026-06-01 08:40:00,U1035,nancy.rodriguez82,Excel,60,WKSTN-U1035
APP017116,2026-06-01 07:50:00,U1042,michael.hill56,Outlook,55,WKSTN-U1042
APP023498,2026-06-01 08:35:00,U1058,jennifer.ramirez18,Outlook,11,WKSTN-U1058
APP028731,2026-06-01 07:54:00,U1071,matthew.robinson35,docusign,69,WKSTN-U1071
APP029131,2026-06-01 08:44:00,U1072,kenneth.lopez,DocuSign,10,WKSTN-U1072
APP014341,2026-06-01 07:44:00,U1035,nancy.rodriguez82,Outlook,26,WKSTN-U1035
APP012296,2026-06-01 07:51:00,U1030,betty.rodriguez86,VSCode,,WKSTN-U1030
APP016310,2026-06-01 07:40:00,U1040,matthew.martin,Workday,84,WKSTN-U1040
APP019131,2026-06-01 07:03:00,U1047,sandra.lewis,Chrome,22,WKSTN-U1047
APP031503,2026-06-01 08:44:00,U1078,michelle.miller,Outlook,55,WKSTN-U1078
APP002424,2026-06-01 08:27:00,U1007,sarah.robinson82,SAP,35,WKSTN-U1007
APP021909,2026-06-01 08:40:00,U1054,anthony.martinez,Salesforce,81,WKSTN-U1054
APP016308,2026-06-01 07:58:00,U1040,matthew.martin,Workday,-80.0,WKSTN-U1040
APP022327,2026-06-01 08:44:00,U1055,patricia.wilson54,Outlook,81,WKSTN-U1055
APP010957,2026-06-01 08:21:00,U1027,patricia.brown75,Docker Desktop,6,WKSTN-U1027
APP038148,2026-06-01 07:31:00,U1093,sarah.clark44,  Wireshark ,14,WKSTN-U1093
APP039017,2026-06-01 08:22:00,U1095,richard.thomas74,Chrome,53,WKSTN-U1095
APP023499,2026-06-01 08:03:00,U1058,jennifer.ramirez18,Chrome,81,WKSTN-U1058
APP015938,2026-06-01 08:35:00,U1039,mark.thomas,Workday,3,WKSTN-U1039
APP009171,2026-06-01 08:33:00,U1023,richard.wright,Slack,15,WKSTN-U1023
APP037251,2026-06-01 07:54:00,U1091,linda.robinson,Slack,44,WKSTN-U1091
APP019130,2026-06-01 07:42:00,U1047,sandra.lewis,Zoom,57,WKSTN-U1047
APP010956,2026-06-01 08:06:00,U1027,patricia.brown75,VSCode,59,WKSTN-U1027
APP025517,2026-06-01 09:02:00,U1063,john.nguyen,Outlook,33,WKSTN-U1063
APP002426,2026-06-01 08:49:00,U1007,sarah.robinson82,QuickBooks,11,WKSTN-U1007
APP016728,2026-06-01 09:08:00,U1041,matthew.allen52,Excel,47,WKSTN-U1041
APP034080,2026-06-01 09:33:00,U1084,joshua.taylor,Active Directory Console,83,WKSTN-U1084
APP017525,2026-06-01 09:27:00,U1043,thomas.williams91,Excel,41,WKSTN-U1043
APP011860,2026-06-01 09:30:00,U1029,michelle.garcia54,Slack,63,WKSTN-U1029
APP001244,2026-06-01 09:27:00,U1004,elizabeth.wilson98,SAP,74,WKSTN-U1004
APP003951,2026-06-01 09:17:00,U1011,donna.ramirez75,Chrome,59,WKSTN-U1011
APP014338,2026-06-01 09:03:00,U1035,nancy.rodriguez82,Excel,45,WKSTN-U1035
APP017115,2026-06-01 09:18:00,U1042,michael.hill56,Excel,28,
APP032771,2026-06-01 09:32:00,U1081,margaret.davis,Active Directory Console,90,WKSTN-U1081
APP003587,2026-06-01 09:35:00,U1010,susan.young51,Outlook,57,WKSTN-U1010
APP011859,2026-06-01 09:00:00,U1029,michelle.garcia54,Git,77,
APP038144,2026-06-01 08:51:00,U1093,sarah.clark44,Slack,57,WKSTN-U1093
APP011858,2026-06-01 08:46:00,U1029,,Jenkins,90,WKSTN-U1029
APP025514,2026-06-01 09:36:00,U1063,john.nguyen,Word,19,WKSTN-U1063
APP036780,2026-06-01 08:52:00,U1090,mary.hill,Wireshark,87,WKSTN-U1090
APP037699,2026-06-01 09:23:00,U1092,steven.thomas,Chrome,4,WKSTN-U1092
APP017526,2026-06-01 09:16:00,U1043,thomas.williams91,Excel,37,WKSTN-U1043
APP035426,2026-06-01 08:53:00,U1087,  charles.sanchez ,Wireshark	,12,WKSTN-U1087
APP037698,2026-06-01 08:53:00,U1092,steven.thomas,Slack,16,WKSTN-U1092
APP019132,2026-06-01 08:54:00,U1047,sandra.lewis,Salesforce,36,WKSTN-U1047
APP020713,2026-06-01 09:18:00,U1051,sandra.king72,Outlook,86,WKSTN-U1051
APP014731,2026-06-01 09:01:00,U1036,,Outlook,43,WKSTN-U1036
APP034079,2026-06-01 09:27:00,U1084,joshua.taylor,Terminal,56,WKSTN-U1084
APP013944,2026-06-01 10:03:00,U1034,thomas.allen63,Outlook,5,WKSTN-U1034
APP006429,2026-06-01 10:00:00,U1017,emily.hernandez34,Jenkins,75,WKSTN-U1017
APP006431,2026-06-01 09:51:00,U1017,emily.hernandez34,Jenkins,51,WKSTN-U1017
APP005574,2026-06-01 10:13:00,U1015,lisa.hernandez,QuickBooks,31,WKSTN-U1015
APP033645,2026-06-01 10:13:00,U1083,,Slack,51,WKSTN-U1083
APP030720,2026-06-01 09:48:00,U1076,john.torres,Word,83,WKSTN-U1076
APP024691,2026-06-01 10:25:00,U1061,jessica.rodriguez,Outlook,15,WKSTN-U1061
APP002423,2026-06-01 10:02:00,U1007,sarah.robinson82,QuickBooks,70,WKSTN-U1007
APP008718,2026-06-01 09:46:00,U1022,sandra.brown,VSCode,66,WKSTN-U1022
APP037697,2026-06-01 09:43:00,U1092,steven.thomas,Active Directory Console,31,WKSTN-U1092
APP029932,2026-06-01 10:09:00,U1074,  sarah.williams7 ,Chrome,26,WKSTN-U1074
APP012295,2026-06-01 09:48:00,U1030,betty.rodriguez86,Chrome,34,WKSTN-U1030
APP009623,2026-06-01 10:05:00,U1024,emily.miller,Chrome,2,WKSTN-U1024
APP036343,2026-06-01 10:11:00,U1089,paul.brown27,Slack,72,WKSTN-U1089
APP000404,2026-06-01 09:57:00,U1002,donna.ramirez,Outlook,15,WKSTN-U1002
APP001247,2026-06-01 09:50:00,U1004,elizabeth.wilson98,Excel,69,WKSTN-U1004
APP030721,2026-06-01 10:16:00,U1076,john.torres,Outlook,76,WKSTN-U1076
APP019912,2026-06-01 09:55:00,U1049,michelle.jones59,Zoom,23,WKSTN-U1049
APP004328,2026-06-01 10:13:00,U1012,linda.martinez,chrome,19,WKSTN-U1012
APP002422,2026-06-01 10:20:00,U1007,sarah.robinson82,Excel,13,
APP003589,2026-06-01 10:10:00,U1010,susan.young51,Outlook,,WKSTN-U1010
APP026740,2026-06-01 09:51:00,U1066,michelle.wright62,Word,5,WKSTN-U1066
APP029540,2026-06-01 10:15:00,U1073,  michael.gonzalez ,Chrome	,25,WKSTN-U1073
APP038147,2026-06-01 10:18:00,U1093,sarah.clark44,Terminal,82,WKSTN-U1093
APP028732,2026-06-01 09:44:00,U1071,matthew.robinson35,DocuSign,69,WKSTN-U1071
APP004745,2026-06-01 10:39:00,U1013,emily.smith,Excel,51,
APP025906,2026-06-01 10:52:00,U1064,matthew.wright55,Chrome,46,WKSTN-U1064
APP039410,2026-06-01 10:37:00,U1096,david.allen76,Outlook	,73,WKSTN-U1096
APP002026,2026-06-01 10:57:00,U1006,george.gonzalez,QuickBooks,89,WKSTN-U1006
APP006928,2026-06-01 10:33:00,U1018,betty.white57,VSCode,67,WKSTN-U1018
APP000009,2026-06-01 10:40:00,U1001,linda.johnson95,SAP,74,WKSTN-U1001	
APP009619,2026-06-01 10:56:00,U1024,emily.miller,Jenkins,11,WKSTN-U1024
APP030342,2026-06-01 10:53:00,U1075,,Chrome,7,WKSTN-U1075
APP008270,2026-06-01 10:42:00,U1021,jessica.walker,Slack,55,WKSTN-U1021
APP005182,2026-06-01 10:37:00,U1014,james.taylor,  QuickBooks ,71,WKSTN-U1014
APP020712,2026-06-01 10:55:00,U1051,sandra.king72,Outlook,3,WKSTN-U1051
APP000406,2026-06-01 10:44:00,U1002,DONNA.RAMIREZ,,46,WKSTN-U1002
APP037696,2026-06-01 10:52:00,U1092,steven.thomas,Terminal,26,WKSTN-U1092
APP004330,2026-06-01 10:42:00,U1012,linda.martinez,SAP,89,WKSTN-U1012
APP022718,2026-06-01 10:45:00,U1056,anthony.clark,Salesforce,39,WKSTN-U1056
APP005983,2026-06-01 10:53:00,U1016,patricia.thomas,Slack,60,WKSTN-U1016
APP030344,2026-06-01 10:28:00,U1075,steven.lewis,DocuSign,57,WKSTN-U1075
APP000826,2026-06-01 10:57:00,U1003,KENNETH.CLARK29,Chrome,29,WKSTN-U1003
APP005183,2026-06-01 10:57:00,U1014,james.taylor,Chrome,57,WKSTN-U1014
APP034546,2026-06-01 10:45:00,U1085,barbara.walker67	,Chrome,48,WKSTN-U1085
APP029931,2026-06-01 10:57:00,U1074,sarah.williams7,Outlook,29,WKSTN-U1074
APP034547,2026-06-01 10:44:00,U1085,barbara.walker67,Terminal,3,WKSTN-U1085
APP012739,2026-06-01 10:32:00,U1031,john.wright28,Workday,76,WKSTN-U1031
APP029541,2026-06-01 10:51:00,U1073,michael.gonzalez,DocuSign,70,WKSTN-U1073
APP025516,2026-06-01 10:27:00,U1063,john.nguyen,Chrome,14,WKSTN-U1063
APP023501,2026-06-01 11:08:00,U1058,jennifer.ramirez18,Chrome,59,WKSTN-U1058
APP013943,2026-06-01 11:37:00,U1034,thomas.allen63,Chrome,50,WKSTN-U1034
APP005184,2026-06-01 10:58:00,U1014,james.taylor,Outlook,7,WKSTN-U1014
APP026741,2026-06-01 11:18:00,U1066,michelle.wright62,Chrome,88,WKSTN-U1066
APP007824,2026-06-01 11:15:00,U1020,andrew.thomas36,Chrome,72,WKSTN-U1020
APP040617,2026-06-01 11:04:00,U1099,joseph.garcia,,60,WKSTN-U1099
