event_id,timestamp,user_id,username,event_type,status,source_ip,geo_country,device
AUTH021099,2026-06-01 07:15:00,U1052,paul.taylor,LOGIN,SUCCESS,10.3.186.90,IN,WKSTN-U1052
AUTH022320,2026-06-01 07:25:00,U1055,patricia.wilson54,LOGIN,SUCCESS,10.3.207.26,US,WKSTN-U1055
AUTH037245,2026-06-01 07:05:00,U1091,linda.robinson,LOGIN,SUCCESS,10.3.177.148,US,WKSTN-U1091
AUTH023105,2026-06-01 07:20:00,U1057,nancy.sanchez,LOGIN,SUCCESS,10.2.207.234,US,WKSTN-U1057
AUTH003169,2026-06-01 07:10:00,U1009,daniel.brown,LOGIN,SUCCESS,10.1.49.253,IN,WKSTN-U1009
AUTH012289,2026-06-01 07:30:00,U1030,betty.rodriguez86,LOGIN,SUCCESS,10.1.21.49,US,WKSTN-U1030
AUTH031102,2026-06-01 07:30:00,U1077,kimberly.harris58,LOGIN,SUCCESS,10.1.253.124,US,WKSTN-U1077
AUTH029124,2026-06-01 07:25:00,U1072,kenneth.lopez,LOGIN,SUCCESS,10.3.139.210,US,WKSTN-U1072
AUTH038579,2026-06-01 07:30:00,U1094,elizabeth.lewis69,LOGIN,SUCCESS,10.1.171.158,IN,WKSTN-U1094
AUTH014329,2026-06-01 07:30:00,U1035,nancy.rodriguez82,LOGIN,SUCCESS,10.2.196.221,US,WKSTN-U1035
AUTH031495,2026-06-01 07:10:00,U1078,michelle.miller,LOGIN,SUCCESS,10.2.248.72,US,WKSTN-U1078
AUTH038138,2026-06-01 07:25:00,U1093,sarah.clark44,LOGIN,SUCCESS,10.3.79.70,US,WKSTN-U1093
AUTH019124,2026-06-01 07:00:00,U1047,sandra.lewis,LOGIN,SUCCESS,10.2.84.161,US,WKSTN-U1047
AUTH033635,2026-06-01 07:20:00,U1083,sarah.allen70,LOGIN,SUCCESS,10.2.12.193,US,WKSTN-U1083
AUTH009163,2026-06-01 07:30:00,U1023,richard.wright,LOGIN,SUCCESS,10.0.126.190,US,WKSTN-U1023
AUTH015929,2026-06-01 07:20:00,U1039,mark.thomas,,SUCCESS,10.3.185.186,US,WKSTN-U1039
AUTH000820,2026-06-01 07:30:00,U1003,kenneth.clark29,LOGIN,SUCCESS,10.1.169.226,US,WKSTN-U1003
AUTH010949,2026-06-01 07:00:00,U1027,patricia.brown75,LOGIN,SUCCESS,10.0.200.48,,WKSTN-U1027
AUTH039010,2026-06-01 07:15:00,U1095,richard.thomas74,LOGIN,,10.2.197.106,US,WKSTN-U1095
AUTH015529,2026-06-01 07:30:00,U1038,emily.clark,LOGIN,success,10.2.58.171,IN,WKSTN-U1038
AUTH004737,2026-06-01 07:05:00,U1013,emily.smith,LOGIN,SUCCESS,10.1.61.152,US,WKSTN-U1013
AUTH017910,2026-06-01 07:10:00,U1044,LISA.RAMIREZ9,LOGIN,SUCCESS,10.3.187.162,US,WKSTN-U1044
AUTH017517,2026-06-01 07:15:00,U1043,thomas.williams91,LOGIN,SUCCESS,10.1.178.61,IN,WKSTN-U1043
AUTH014726,2026-06-01 07:00:00,U1036,linda.jones,,SUCCESS,10.1.57.133,US,WKSTN-U1036
AUTH027880,2026-06-01 07:30:00,U1069,jessica.clark,LOGIN,SUCCESS,10.2.169.134,US,WKSTN-U1069
AUTH019906,2026-06-01 08:00:00,U1049,michelle.jones59,LOGIN,SUCCESS,10.3.6.203,US,WKSTN-U1049
AUTH034538,2026-06-01 08:10:00,U1085,barbara.walker67,LOGIN,SUCCESS,10.2.43.139,IN,WKSTN-U1085
AUTH008259,2026-06-01 08:10:00,U1021,jessica.walker,LOGIN,SUCCESS,10.0.113.156,US,
AUTH026292,2026-06-01 08:00:00,U1065,michael.ramirez47,LOGIN,SUCCESS,10.3.28.36,US,WKSTN-U1065
AUTH026294,2026-06-01 07:58:00,U1065,michael.ramirez47,LOGIN,FAILURE,10.0.235.143,US,WKSTN-U1065
AUTH035420,2026-06-01 08:10:00,U1087,charles.sanchez,LOGIN,SUCCESS,10.1.103.138,US,WKSTN-U1087
AUTH040977,2026-06-01 08:15:00,U1100,daniel.brown38,LOGIN,success,10.3.113.14,IN,WKSTN-U1100
AUTH013140,2026-06-01 07:40:00,U1032,paul.wright91,LOGIN,SUCCESS,,IN,WKSTN-U1032
AUTH037688,2026-06-01 07:50:00,U1092,steven.thomas,LOGIN,SUCCESS,10.0.129.210,IN,WKSTN-U1092
AUTH018308,2026-06-01 08:15:00,U1045,daniel.sanchez90,LOGIN,SUCCESS,10.1.176.136,US,WKSTN-U1045
AUTH005977,2026-06-01 07:40:00,U1016,,LOGIN,SUCCESS,10.0.65.153,US,WKSTN-U1016
AUTH034073,2026-06-01 07:50:00,U1084,joshua.taylor,LOGIN,SUCCESS,10.0.115.15,US,WKSTN-U1084
AUTH001626,2026-06-01 08:05:00,U1005,robert.robinson,LOGIN,SUCCESS,10.1.198.201,US,WKSTN-U1005
AUTH002021,2026-06-01 08:05:00,U1006,  george.gonzalez ,LOGIN,SUCCESS,10.1.244.126,US,  WKSTN-U1006 
AUTH029534,2026-06-01 08:20:00,U1073,michael.gonzalez,LOGIN,SUCCESS,10.1.4.32,US,WKSTN-U1073
AUTH026734,2026-06-01 07:50:00,U1066,michelle.wright62,LOGIN,SUCCESS,10.2.168.124,US,WKSTN-U1066
AUTH025507,2026-06-01 07:50:00,U1063,john.nguyen,LOGIN,SUCCESS,10.2.91.128,US,WKSTN-U1063
AUTH018310,2026-06-01 08:10:00,U1045,daniel.sanchez90,,FAILURE,10.1.123.102,,WKSTN-U1045
AUTH036770,2026-06-01 08:15:00,U1090,mary.hill,LOGIN,SUCCESS,10.0.33.120,US,WKSTN-U1090
AUTH023489,2026-06-01 08:00:00,U1058,jennifer.ramirez18,login,SUCCESS,10.3.157.114,US,WKSTN-U1058
AUTH009612,2026-06-01 08:20:00,U1024,emily.miller,login,SUCCESS,10.1.61.149,US,WKSTN-U1024
AUTH028723,2026-06-01 07:50:00,U1071,matthew.robinson35,LOGIN,SUCCESS,10.0.43.42,IN,WKSTN-U1071
AUTH017110,2026-06-01 07:40:00,U1042,michael.hill56,LOGIN,SUCCESS,10.2.242.251,US,WKSTN-U1042
AUTH016299,2026-06-01 07:40:00,U1040,matthew.martin,LOGIN,SUCCESS,10.3.149.27,US,WKSTN-U1040
AUTH007815,2026-06-01 07:40:00,U1020,andrew.thomas36,LOGIN,SUCCESS,10.1.213.12,US,WKSTN-U1020
AUTH011426,2026-06-01 08:50:00,U1028,john.hill,LOGIN,SUCCESS,10.1.165.240,US,
AUTH002417,2026-06-01 08:25:00,U1007,sarah.robinson82,LOGIN,SUCCESS,10.2.252.158,US,WKSTN-U1007
AUTH015110,2026-06-01 08:30:00,U1037,robert.martin,LOGIN,SUCCESS,10.0.23.132,US,WKSTN-U1037
AUTH016719,2026-06-01 08:25:00,U1041,matthew.allen52,,SUCCESS,10.2.145.36,US,WKSTN-U1041
AUTH021901,2026-06-01 08:40:00,U1054,anthony.martinez,LOGIN,SUCCESS,10.1.222.206,US,WKSTN-U1054
AUTH031905,2026-06-01 08:50:00,U1079,emily.jones,LOGIN,SUCCESS,10.1.76.209,IN,WKSTN-U1079
AUTH023881,2026-06-01 08:50:00,U1059,daniel.perez98,LOGIN,SUCCESS,10.3.22.101,us,WKSTN-U1059
AUTH024683,2026-06-01 08:50:00,U1061,jessica.rodriguez,LOGIN,SUCCESS,10.0.231.178,US,WKSTN-U1061
AUTH030335,2026-06-01 08:50:00,U1075,steven.lewis,LOGIN,SUCCESS,10.1.206.132,US,WKSTN-U1075
AUTH005566,2026-06-01 08:50:00,U1015,lisa.hernandez,LOGIN,SUCCESS,10.0.105.185,IN,WKSTN-U1015
AUTH034974,2026-06-01 08:45:00,U1086,steven.thompson53,LOGIN,SUCCESS,10.0.117.240,US,WKSTN-U1086
AUTH032763,2026-06-01 09:00:00,U1081,margaret.davis,LOGIN,SUCCESS,10.2.233.31,US,WKSTN-U1081
AUTH018709,2026-06-01 08:50:00,U1046,michelle.torres39,LOGIN,SUCCESS,10.3.85.65,US,WKSTN-U1046
AUTH008709,2026-06-01 09:00:00,U1022,,LOGIN,SUCCESS,10.2.186.88,IN,WKSTN-U1022
AUTH002799,2026-06-01 09:00:00,U1008,joshua.hernandez,LOGIN,SUCCESS,,IN,WKSTN-U1008
AUTH027112,2026-06-01 08:40:00,U1067,paul.thomas97,LOGIN,SUCCESS,10.0.140.36,IN,WKSTN-U1067
AUTH005176,2026-06-01 08:40:00,U1014,james.taylor,LOGIN,SUCCESS,10.1.224.212,IN,  WKSTN-U1014 
AUTH013936,2026-06-01 08:45:00,U1034,thomas.allen63,LOGIN,SUCCESS,10.2.134.158,IN,WKSTN-U1034
AUTH040223,2026-06-01 08:45:00,U1098,nancy.wright49,LOGIN,SUCCESS,10.3.183.231,US,WKSTN-U1098
AUTH011851,2026-06-01 08:45:00,U1029,michelle.garcia54,,SUCCESS,10.0.89.24,US,WKSTN-U1029
