event_id,timestamp,user_id,username,command,device,privilege_used
CMD038593,2026-06-01 07:46:00,U1094,elizabeth.lewis69,cd project/,WKSTN-U1094,USER
CMD025524,2026-06-01 10:27:00,U1063,john.nguyen	,git pull	,WKSTN-U1063,USER
CMD020308,2026-06-01 09:54:00,U1050,michael.ramirez,cd project/,WKSTN-U1050,USER
CMD038594,2026-06-01 09:54:00,U1094,elizabeth.lewis69,top,WKSTN-U1094,USER
CMD006436,2026-06-01 10:17:00,U1017,emily.hernandez34,cat readme.txt,WKSTN-U1017,USER
CMD005987,2026-06-01 08:48:00,U1016,patricia.thomas,clear,WKSTN-U1016,USER
CMD036783,2026-06-01 08:48:00,U1090,,top,WKSTN-U1090,USER
CMD035434,2026-06-01 08:56:00,U1087,charles.sanchez,top,WKSTN-U1087,USER
CMD037260,2026-06-01 08:40:00,U1091,linda.robinson,ping 10.0.0.5,WKSTN-U1091,USER
CMD026306,2026-06-01 09:50:00,U1065,michael.ramirez47,top,WKSTN-U1065,USER
CMD034555,2026-06-01 10:00:00,U1085,  barbara.walker67 ,dir,WKSTN-U1085,USER
CMD009628,2026-06-01 09:49:00,U1024,emily.miller,top,WKSTN-U1024,USER
CMD033209,2026-06-01 09:40:00,U1082,karen.hill96,cd project/,WKSTN-U1082,USER
CMD038596,2026-06-01 08:49:00,U1094,elizabeth.lewis69,whoami,WKSTN-U1094,USER
CMD039418,2026-06-01 09:18:00,U1096,david.allen76,git pull,WKSTN-U1096,USER
CMD008277,2026-06-01 10:21:00,U1021,jessica.walker,systeminfo,WKSTN-U1021,USER
CMD005190,2026-06-01 08:41:00,U1014,james.taylor,ls -la,WKSTN-U1014,USER
CMD010519,2026-06-01 10:07:00,U1026,elizabeth.gonzalez,clear,WKSTN-U1026,USER
CMD036785,2026-06-01 09:44:00,U1090,mary.hill,top,WKSTN-U1090,USER
CMD026750,2026-06-01 10:17:00,U1066,michelle.wright62,systeminfo,WKSTN-U1066,USER
CMD010518,2026-06-01 10:09:00,U1026,elizabeth.gonzalez,git pull,WKSTN-U1026,USER
CMD035435,2026-06-01 10:24:00,U1087,charles.sanchez,dir,WKSTN-U1087,USER
CMD034989,2026-06-01 09:18:00,U1086,steven.thompson53,top,WKSTN-U1086,USER
CMD035436,2026-06-01 09:15:00,U1087,charles.sanchez,git status,WKSTN-U1087,USER
CMD039417,2026-06-01 10:27:00,U1096,david.allen76,cd project/,WKSTN-U1096,
CMD023893,2026-06-01 11:46:00,U1059,daniel.perez98,whoami,WKSTN-U1059,USER
CMD020310,2026-06-01 11:35:00,U1050,michael.ramirez,top,WKSTN-U1050,USER
CMD039415,2026-06-01 11:33:00,U1096,david.allen76,cd project/,WKSTN-U1096,USER
CMD034554,2026-06-01 11:46:00,U1085,barbara.walker67,clear,WKSTN-U1085,USER
CMD019917,2026-06-01 12:18:00,U1049,michelle.jones59,whoami,  WKSTN-U1049 ,USER
CMD020309,2026-06-01 11:55:00,U1050,michael.ramirez,git status,WKSTN-U1050,USER
CMD003596,2026-06-01 11:55:00,U1010,susan.young51,git status,WKSTN-U1010,USER
CMD026748,2026-06-01 11:18:00,U1066,michelle.wright62,whoami,WKSTN-U1066,USER
CMD035880,2026-06-01 11:02:00,U1088,andrew.smith85,top,WKSTN-U1088,USER
CMD036350,2026-06-01 10:38:00,U1089,paul.brown27,clear,WKSTN-U1089,
CMD010966,2026-06-01 10:34:00,U1027,patricia.brown75,top,WKSTN-U1027,USER
CMD034086,2026-06-01 10:40:00,U1084,joshua.taylor	,clear,WKSTN-U1084,USER
CMD010074,2026-06-01 10:37:00,U1025,betty.brown22,git status,WKSTN-U1025,USER
CMD006933,2026-06-01 11:36:00,U1018,betty.white57,ls -la,WKSTN-U1018,USER
CMD020307,2026-06-01 11:39:00,U1050,michael.ramirez,ping 10.0.0.5	,WKSTN-U1050,USER
CMD009181,2026-06-01 11:51:00,U1023,richard.wright,ls -la,WKSTN-U1023,
CMD032339,2026-06-01 12:13:00,U1080,joseph.jackson91,systeminfo,WKSTN-U1080,USER
CMD017534,2026-06-01 10:45:00,U1043,thomas.williams91,,WKSTN-U1043,USER
CMD020720,2026-06-01 10:39:00,U1051,sandra.king72,git pull,WKSTN-U1051,USER
CMD033651,2026-06-01 11:16:00,U1083,sarah.allen70,ipconfig,WKSTN-U1083,USER
CMD036349,2026-06-01 10:28:00,U1089,,clear,WKSTN-U1089,USER
CMD025525,2026-06-01 12:03:00,U1063,john.nguyen,clear,WKSTN-U1063,USER
CMD017532,2026-06-01 11:48:00,U1043,thomas.williams91,systeminfo,WKSTN-U1043,
CMD000829,2026-06-01 10:53:00,U1003,kenneth.clark29,ping 10.0.0.5,WKSTN-U1003,USER
CMD025523,2026-06-01 10:47:00,U1063,john.nguyen	,ls -la,WKSTN-U1063,user
CMD032340,2026-06-01 13:15:00,U1080,joseph.jackson91,  ping 10.0.0.5 ,WKSTN-U1080,USER
CMD011441,2026-06-01 12:35:00,U1028,john.hill,systeminfo,WKSTN-U1028,USER
CMD003595,2026-06-01 13:16:00,U1010,susan.young51,git status	,WKSTN-U1010,USER
CMD036352,2026-06-01 13:11:00,U1089,paul.brown27,git status,WKSTN-U1089,USER
CMD008276,2026-06-01 13:15:00,U1021,jessica.walker,systeminfo,WKSTN-U1021,USER
CMD026747,2026-06-01 13:21:00,U1066,michelle.wright62,ipconfig,WKSTN-U1066,USER
CMD010965,2026-06-01 12:40:00,U1027,patricia.brown75,ping 10.0.0.5,WKSTN-U1027,USER
CMD010072,2026-06-01 13:12:00,U1025,betty.brown22,systeminfo,WKSTN-U1025,USER
CMD031920,2026-06-01 12:22:00,U1079,emily.jones,ipconfig,WKSTN-U1079,USER
CMD025522,2026-06-01 12:22:00,U1063,john.nguyen,dir,WKSTN-U1063,USER
CMD032777,2026-06-01 12:31:00,U1081,margaret.davis,df -h,WKSTN-U1081,USER
CMD006934,2026-06-01 12:55:00,U1018,betty.white57,top,WKSTN-U1018,USER
CMD008724,2026-06-01 13:28:00,U1022,sandra.brown,systeminfo,WKSTN-U1022,USER
CMD006935,2026-06-01 13:37:00,U1018,betty.white57,cd project/,WKSTN-U1018,USER
CMD033207,2026-06-01 12:32:00,U1082,karen.hill96,ipconfig,WKSTN-U1082,
CMD034087,2026-06-01 12:20:00,U1084,joshua.taylor,git status,WKSTN-U1084,USER
CMD034990,2026-06-01 13:28:00,U1086,steven.thompson53,dir,WKSTN-U1086,USER
CMD026304,2026-06-01 12:25:00,U1065,michael.ramirez47,ipconfig,WKSTN-U1065,USER
CMD012302,2026-06-01 13:06:00,U1030,BETTY.RODRIGUEZ86,dir,WKSTN-U1030,USER
CMD036786,2026-06-01 13:32:00,U1090,mary.hill,whoami,WKSTN-U1090,USER
CMD037705,2026-06-01 12:22:00,U1092,steven.thomas,git pull,WKSTN-U1092,USER
CMD036784,2026-06-01 13:09:00,U1090,,whoami	,WKSTN-U1090,USER
