event_id,timestamp,user_id,username,device,process_name,action,cpu_pct,mem_mb
EP015933,2026-06-01 07:38:00,U1039,mark.thomas,WKSTN-U1039,explorer.exe,PROCESS_START,8.2,487
EP038140,2026-06-01 08:02:00,U1093,sarah.clark44,WKSTN-U1093,Terminal,PROCESS_START,7.1,774
EP023107,2026-06-01 07:24:00,U1057,nancy.sanchez,WKSTN-U1057,,PROCESS_START,6.6,551
EP031107,2026-06-01 08:34:00,U1077,kimberly.harris58,WKSTN-U1077,notepad.exe,PROCESS_START,16.6,667
EP015532,2026-06-01 08:28:00,U1038,emily.clark,WKSTN-U1038,explorer.exe,PROCESS_START,8.8,665
EP025904,2026-06-01 08:25:00,U1064,matthew.wright55,WKSTN-U1064,chrome.exe,PROCESS_START,21.0,806
EP023493,2026-06-01 08:12:00,U1058,jennifer.ramirez18,WKSTN-U1058,explorer.exe,PROCESS_START,30.4,101
EP008261,2026-06-01 08:21:00,U1021,jessica.walker,WKSTN-U1021,Slack,PROCESS_START,6.6,688
EP007818,2026-06-01 08:07:00,U1020,andrew.thomas36,WKSTN-U1020,Docker Desktop,PROCESS_START,10.7,653
EP022325,2026-06-01 08:43:00,U1055,patricia.wilson54,WKSTN-U1055,outlook.exe,PROCESS_START,29.0,172
EP014334,2026-06-01 08:23:00,U1035,,WKSTN-U1035,teams.exe,PROCESS_START,24.4,98
EP004741,2026-06-01 07:30:00,U1013,emily.smith,WKSTN-U1013,SAP,PROCESS_START,5.8,654
EP019129,2026-06-01 07:10:00,U1047,sandra.lewis,WKSTN-U1047,Excel,PROCESS_START,12.1,482
EP014333,2026-06-01 08:41:00,U1035,nancy.rodriguez82,WKSTN-U1035,WORKDAY,PROCESS_START,32.9,98
EP029128,2026-06-01 08:17:00,U1072,kenneth.lopez,WKSTN-U1072,notepad.exe,PROCESS_START,29.4,158
EP018312,2026-06-01 08:18:00,U1045,daniel.sanchez90,WKSTN-U1045,chrome.exe,PROCESS_START,32.8,120
EP029126,2026-06-01 07:49:00,U1072,kenneth.lopez,WKSTN-U1072,outlook.exe	,PROCESS_START,3.4,819
EP039012,2026-06-01 07:26:00,U1095,richard.thomas74,WKSTN-U1095,teams.exe,PROCESS_START,4.5,816
EP022323,2026-06-01 08:40:00,U1055,patricia.wilson54,WKSTN-U1055,Outlook,PROCESS_START,4.9,220
EP039014,2026-06-01 08:05:00,U1095,richard.thomas74,WKSTN-U1095,Outlook,PROCESS_START,17.9,408
EP014331,2026-06-01 08:18:00,U1035,nancy.rodriguez82,WKSTN-U1035,explorer.exe,PROCESS_START,16.6,891
EP016301,2026-06-01 08:02:00,U1040,matthew.martin,WKSTN-U1040,outlook.exe,PROCESS_START,2.3,346
EP002420,2026-06-01 08:39:00,U1007,sarah.robinson82,WKSTN-U1007,Outlook,PROCESS_START,2.6,90
EP038586,2026-06-01 08:48:00,U1094,elizabeth.lewis69,WKSTN-U1094,Terminal,PROCESS_START,23.5,271
EP003175,2026-06-01 07:21:00,U1009,daniel.brown,WKSTN-U1009,outlook.exe,PROCESS_START,16.2,745
EP031501,2026-06-01 08:59:00,U1078,michelle.miller	,WKSTN-U1078,notepad.exe,PROCESS_START,6.9,894
EP016303,2026-06-01 09:19:00,U1040,matthew.martin,WKSTN-U1040,outlook.exe,PROCESS_START,24.9,163
