event_id,timestamp,user_id,username,file_path,action,file_size_kb,device,is_sensitive_location
FILE003178,2026-06-01 07:43:00,U1009,daniel.brown,/shared/finance/reports/data_584.pdf,DOWNLOAD,,WKSTN-U1009,False
FILE033649,2026-06-01 07:46:00,U1083,sarah.allen70,/shared/it/network_configs/report_274.xlsx,WRITE,2607,WKSTN-U1083,False
FILE002032,2026-06-01 08:18:00,U1006,george.gonzalez,/shared/finance/reports/report_890.pptx,READ,2056,WKSTN-U1006,False
FILE016312,2026-06-01 08:31:00,U1040,matthew.martin,/shared/hr/recruitment/report_558.pdf,WRITE,2455,WKSTN-U1040,
FILE015539,2026-06-01 08:37:00,U1038,emily.clark,/shared/hr/employee_records/notes_318.xlsx,READ,690,WKSTN-U1038,True
FILE033647,2026-06-01 08:32:00,U1083,sarah.allen70,/shared/it/backups/data_222.docx,READ,1027,WKSTN-U1083,False
FILE038592,2026-06-01 07:50:00,U1094,elizabeth.lewis69,/shared/it/network_configs/data_846.xlsx,DOWNLOAD,3872,WKSTN-U1094,False
FILE033650,2026-06-01 07:56:00,U1083,sarah.allen70,/shared/it/network_configs/notes_42.pptx,WRITE,642,WKSTN-U1083,False
FILE010960,2026-06-01 07:50:00,U1027,patricia.brown75,/shared/eng/ci_configs/plan_772.csv,READ,2174,WKSTN-U1027,False
FILE038150,2026-06-01 08:11:00,U1093,sarah.clark44,/shared/it/network_configs/report_313.xlsx,READ,2887,WKSTN-U1093,False
FILE022331,2026-06-01 07:33:00,U1055,patricia.wilson54,/shared/sales/leads/summary_545.pdf,READ,4342,WKSTN-U1055,False
FILE014734,2026-06-01 07:42:00,U1036,linda.jones,/shared/hr/recruitment/summary_361.csv,READ,4471,WKSTN-U1036,False
FILE022333,2026-06-01 08:06:00,U1055,patricia.wilson54,  /shared/sales/leads/plan_671.docx ,READ,91,WKSTN-U1055,False
FILE028735,2026-06-01 08:04:00,U1071,matthew.robinson35,/shared/legal/contracts/notes_801.xlsx,READ,1180,WKSTN-U1071,False
FILE013154,2026-06-01 08:05:00,U1032,paul.wright91,/shared/hr/employee_records/plan_894.csv,READ,3121,WKSTN-U1032,True
FILE037256,2026-06-01 07:25:00,U1091,linda.robinson,/shared/it/network_configs/plan_478.zip,READ,2674,WKSTN-U1091,False
FILE026745,2026-06-01 07:53:00,U1066,michelle.wright62,/shared/legal/compliance/report_501.pptx,READ,2987,WKSTN-U1066,False
FILE027892,2026-06-01 08:18:00,U1069,jessica.clark,/shared/legal/contracts/report_57.xlsx,READ,950,WKSTN-U1069,False
FILE039020,2026-06-01 08:38:00,U1095,richard.thomas74,/shared/exec/mna/plan_942.xlsx,DOWNLOAD,1849,WKSTN-U1095,True
FILE016313,2026-06-01 08:09:00,U1040,matthew.martin	,/shared/hr/employee_records/data_977.pptx,DOWNLOAD,3310,WKSTN-U1040,True
FILE019915,2026-06-01 08:17:00,U1049,michelle.jones59,/shared/sales/pricing/data_745.pdf,WRITE,4466,WKSTN-U1049,False
FILE019134,2026-06-01 07:03:00,U1047,sandra.lewis,/shared/sales/leads/summary_999.pdf,WRITE,1102,WKSTN-U1047,False
FILE005985,2026-06-01 07:40:00,U1016,patricia.thomas,/shared/eng/source_code/data_765.csv,DOWNLOAD,2296,WKSTN-U1016,False
FILE029132,2026-06-01 07:52:00,U1072,kenneth.lopez,/shared/legal/contracts/notes_989.pptx,READ,2496,WKSTN-U1072,False
FILE017917,2026-06-01 07:45:00,U1044,lisa.ramirez9,/shared/hr/recruitment/summary_821.csv,READ,1937,WKSTN-U1044,False
FILE008271,2026-06-01 08:57:00,U1021,jessica.walker,/shared/eng/design_docs/plan_591.zip	,READ,2040,WKSTN-U1021,False
FILE015939,2026-06-01 08:46:00,U1039,mark.thomas,/shared/hr/employee_records/plan_645.zip,READ,1502,WKSTN-U1039,True
FILE004747,2026-06-01 09:16:00,U1013,emily.smith,/shared/finance/payroll/report_24.csv,READ,2598,WKSTN-U1013,True
FILE011436,2026-06-01 09:19:00,U1028,john.hill,,WRITE,183,WKSTN-U1028,False
FILE037255,2026-06-01 08:39:00,U1091,linda.robinson,/shared/it/network_configs/report_550.pptx,WRITE,624,WKSTN-U1091,False
FILE018723,2026-06-01 09:02:00,U1046,michelle.torres39,/shared/hr/employee_records/report_338.xlsx,,4162,WKSTN-U1046,True
FILE033648,2026-06-01 08:56:00,U1083,sarah.allen70,/shared/it/backups/plan_296.pdf,WRITE,857,WKSTN-U1083,False
FILE011861,2026-06-01 09:23:00,U1029,michelle.garcia54,/shared/eng/source_code/plan_523.zip,READ,1833,WKSTN-U1029,False
FILE024696,2026-06-01 09:10:00,U1061,jessica.rodriguez,/shared/sales/contracts/data_407.docx,DOWNLOAD,3023,,False
FILE008272,2026-06-01 09:22:00,U1021,jessica.walker,/shared/eng/ci_configs/plan_367.zip,WRITE,27,WKSTN-U1021,False
FILE026303,2026-06-01 09:15:00,U1065,michael.ramirez47,/shared/legal/compliance/data_393.pptx,READ,1264,WKSTN-U1065,False
FILE038591,2026-06-01 09:04:00,U1094,elizabeth.lewis69,/shared/it/network_configs/summary_369.docx,READ,931,WKSTN-U1094,False
FILE016732,2026-06-01 08:51:00,U1041,matthew.allen52,/shared/hr/employee_records/report_218.csv,READ,4251,WKSTN-U1041	,True
FILE010961,2026-06-01 09:22:00,U1027,patricia.brown75,/shared/eng/design_docs/notes_335.zip,READ,4432,WKSTN-U1027,False
FILE035433,2026-06-01 08:45:00,U1087,charles.sanchez,/shared/it/backups/notes_437.csv,DOWNLOAD,1406,WKSTN-U1087,False
FILE011866,2026-06-01 09:06:00,U1029,michelle.garcia54,/shared/eng/design_docs/summary_648.pdf,WRITE,3414,WKSTN-U1029,False
FILE014345,2026-06-01 08:52:00,U1035,nancy.rodriguez82,/shared/hr/policies/plan_896.zip,WRITE,4445,WKSTN-U1035,False
FILE013946,2026-06-01 08:48:00,U1034,thomas.allen63,/shared/hr/policies/data_279.zip,READ,905,WKSTN-U1034,False
FILE028737,2026-06-01 09:09:00,U1071,matthew.robinson35,/shared/legal/case_files/summary_585.pptx,DOWNLOAD,4522,WKSTN-U1071,True
FILE029547,2026-06-01 09:13:00,U1073,michael.gonzalez,/shared/legal/case_files/plan_969.pdf,DOWNLOAD,735,WKSTN-U1073,
FILE028328,2026-06-01 09:17:00,U1070,betty.thomas40,  /shared/legal/contracts/report_485.zip ,READ,4897,WKSTN-U1070,False
FILE018320,2026-06-01 08:46:00,U1045,daniel.sanchez90,/shared/hr/policies/notes_562.zip,WRITE,1427,WKSTN-U1045,False
FILE025521,2026-06-01 09:14:00,U1063,john.nguyen,/shared/legal/case_files/summary_403.csv,READ,1803,WKSTN-U1063,True
FILE015119,2026-06-01 08:46:00,U1037,robert.martin,/shared/hr/employee_records/notes_260.pptx,WRITE,3007,WKSTN-U1037,True
FILE021108,2026-06-01 09:21:00,U1052,,/shared/sales/contracts/report_95.pptx,READ,3564,WKSTN-U1052	,False
FILE039830,2026-06-01 09:30:00,U1097,  mark.martinez10 ,/shared/exec/strategy/data_868.csv,READ,1546,WKSTN-U1097,False
FILE025910,2026-06-01 09:23:00,U1064,matthew.wright55,/shared/legal/contracts/report_181.csv,READ,2087,  WKSTN-U1064 ,False
FILE030723,2026-06-01 09:42:00,U1076,john.torres,/shared/legal/compliance/report_81.pptx,READ,798,WKSTN-U1076,False
FILE024695,2026-06-01 09:34:00,U1061,jessica.rodriguez,/shared/sales/pricing/report_419.pdf,READ,460,WKSTN-U1061,False
FILE024306,2026-06-01 09:51:00,U1060,matthew.anderson,/shared/sales/contracts/summary_794.pptx,READ,1594,,False
FILE028736,2026-06-01 09:47:00,U1071,matthew.robinson35,/shared/legal/compliance/plan_252.csv,WRITE,3238,WKSTN-U1071,False
FILE003954,2026-06-01 09:42:00,U1011,donna.ramirez75,/shared/finance/budgets/data_463.zip,WRITE,4981,WKSTN-U1011,False
