event_id,timestamp,user_id,username,destination_domain,destination_type,bytes_transferred,device
NET039023,2026-06-01 07:58:00,U1095,richard.thomas74,  vpn.corp.local ,INTERNAL,113801,WKSTN-U1095
NET017923,2026-06-01 08:24:00,U1044,lisa.ramirez9,jira.corp.local	,INTERNAL,475408,WKSTN-U1044
NET010967,2026-06-01 07:04:00,U1027,patricia.brown75,vpn.corp.local,INTERNAL,413648,WKSTN-U1027
NET031510,2026-06-01 08:44:00,U1078,michelle.miller,hr-portal.corp.local,INTERNAL,323608,WKSTN-U1078
NET017539,2026-06-01 07:49:00,U1043,thomas.williams91,vpn.corp.local,INTERNAL,248225,WKSTN-U1043
NET033656,2026-06-01 08:48:00,U1083,sarah.allen70,jira.corp.local,INTERNAL,439067,WKSTN-U1083
NET010968,2026-06-01 08:29:00,U1027,patricia.brown75,sharepoint.corp.local,INTERNAL,62364,WKSTN-U1027
NET019919,2026-06-01 08:17:00,U1049,michelle.jones59,hr-portal.corp.local,INTERNAL,385910,WKSTN-U1049	
NET014738,2026-06-01 08:24:00,U1036,linda.jones,  vpn.corp.local ,INTERNAL,350276,WKSTN-U1036
NET013158,2026-06-01 08:11:00,U1032,paul.wright91	,vpn.corp.local,INTERNAL,185881,WKSTN-U1032
NET017535,2026-06-01 07:26:00,U1043,thomas.williams91,sharepoint.corp.local,INTERNAL,43411,WKSTN-U1043
NET021110,2026-06-01 07:25:00,U1052,  paul.taylor ,hr-portal.corp.local,INTERNAL,463154,WKSTN-U1052
NET012304,2026-06-01 08:45:00,U1030,betty.rodriguez86,hr-portal.corp.local,INTERNAL,476861,WKSTN-U1030
NET015122,2026-06-01 08:31:00,U1037,robert.martin,hr-portal.corp.local,INTERNAL,499550,WKSTN-U1037
NET005988,2026-06-01 08:48:00,U1016,patricia.thomas,hr-portal.corp.local,INTERNAL,367450,WKSTN-U1016
NET038155,2026-06-01 07:52:00,U1093,sarah.clark44,mail.corp.local,INTERNAL,54726,WKSTN-U1093
NET035437,2026-06-01 08:19:00,U1087,charles.sanchez,jira.corp.local,INTERNAL,144012,WKSTN-U1087
NET003183,2026-06-01 07:37:00,U1009,daniel.brown,hr-portal.corp.local,INTERNAL,396557,WKSTN-U1009
NET023121,2026-06-01 08:38:00,U1057,nancy.sanchez,confluence.corp.local,INTERNAL,113066,WKSTN-U1057
NET037264,2026-06-01 07:57:00,U1091,linda.robinson,confluence.corp.local,INTERNAL,298403,WKSTN-U1091
NET013156,2026-06-01 08:25:00,U1032,paul.wright91,confluence.corp.local,INTERNAL,68910,WKSTN-U1032
NET008279,2026-06-01 08:13:00,U1021,jessica.walker,jira.corp.local,INTERNAL,292677,WKSTN-U1021
NET027896,2026-06-01 08:47:00,U1069,jessica.clark,vpn.corp.local,INTERNAL,232675,
NET027897,2026-06-01 07:34:00,U1069,jessica.clark,,INTERNAL,301002,WKSTN-U1069
NET022334,2026-06-01 08:49:00,U1055,,vpn.corp.local,INTERNAL,194377,WKSTN-U1055
NET018324,2026-06-01 09:21:00,U1045,daniel.sanchez90,jira.corp.local,INTERNAL,,WKSTN-U1045
NET024703,2026-06-01 08:51:00,U1061,jessica.rodriguez,hr-portal.corp.local,INTERNAL,404183,WKSTN-U1061
NET027128,2026-06-01 08:59:00,U1067,paul.thomas97,confluence.corp.local,INTERNAL,378217,WKSTN-U1067
NET004336,2026-06-01 09:22:00,U1012,linda.martinez,vpn.corp.local,INTERNAL,344966,WKSTN-U1012
NET010076,2026-06-01 09:20:00,U1025,betty.brown22,vpn.corp.local,INTERNAL,164682,WKSTN-U1025
NET036790,2026-06-01 08:51:00,U1090,mary.hill,hr-portal.corp.local,,60689,WKSTN-U1090
NET002812,2026-06-01 09:05:00,U1008,joshua.hernandez,linkedin.com,EXTERNAL,12772,WKSTN-U1008
NET024704,2026-06-01 08:51:00,U1061,jessica.rodriguez,sharepoint.corp.local,INTERNAL,95572,WKSTN-U1061
NET023506,2026-06-01 09:14:00,U1058,jennifer.ramirez18,hr-portal.corp.local,INTERNAL,,WKSTN-U1058
NET030348,2026-06-01 09:15:00,U1075,steven.lewis,mail.corp.local,INTERNAL,211281,  WKSTN-U1075 
NET002433,2026-06-01 09:07:00,U1007,sarah.robinson82,confluence.corp.local,INTERNAL,,WKSTN-U1007	
NET006441,2026-06-01 09:06:00,U1017,emily.hernandez34,,INTERNAL,426115,WKSTN-U1017
NET017537,2026-06-01 09:19:00,U1043,thomas.williams91,hr-portal.corp.local,INTERNAL,329007,WKSTN-U1043
NET017536,2026-06-01 08:59:00,U1043,  thomas.williams91 ,sharepoint.corp.local,INTERNAL,62109,WKSTN-U1043
NET025529,2026-06-01 08:59:00,U1063,john.nguyen,jira.corp.local,INTERNAL,305405,WKSTN-U1063
NET021913,2026-06-01 09:11:00,U1054,anthony.martinez,vpn.corp.local,INTERNAL,75745,WKSTN-U1054
NET036789,2026-06-01 08:53:00,U1090,mary.hill,jira.corp.local,INTERNAL,407320,WKSTN-U1090
NET005191,2026-06-01 08:49:00,U1014,james.taylor,vpn.corp.local,INTERNAL,273103,WKSTN-U1014
NET007831,2026-06-01 08:59:00,U1020,andrew.thomas36,hr-portal.corp.local,INTERNAL,330057,WKSTN-U1020
NET027507,2026-06-01 09:25:00,U1068,susan.thompson34,jira.corp.local,INTERNAL,232959,WKSTN-U1068
NET022726,2026-06-01 09:08:00,U1056,anthony.clark,news.com,EXTERNAL,6940,WKSTN-U1056
NET036788,2026-06-01 08:54:00,U1090,mary.hill,mail.corp.local,INTERNAL,480883,WKSTN-U1090
NET003958,2026-06-01 09:23:00,U1011,donna.ramirez75,hr-portal.corp.local,INTERNAL,238559,WKSTN-U1011
NET029552,2026-06-01 09:28:00,U1073,michael.gonzalez,vpn.corp.local,INTERNAL,495974,WKSTN-U1073
NET005991,2026-06-01 09:26:00,U1016,patricia.thomas,weather.com,EXTERNAL,14843,WKSTN-U1016
NET019138,2026-06-01 09:46:00,U1047,sandra.lewis,jira.corp.local,INTERNAL,241071,WKSTN-U1047
NET013563,2026-06-01 10:01:00,U1033,linda.miller,sharepoint.corp.local,INTERNAL,483960,WKSTN-U1033
NET021506,2026-06-01 09:32:00,U1053,john.jackson31,confluence.corp.local,INTERNAL,153525,WKSTN-U1053
